CODE|FICHIER|CONTEXTE|TEXTE_ORIGINAL|TEXTE_RÉVISÉ
APP_001|App.jsx|label étape barre de progression|Photos|
APP_002|App.jsx|description étape barre de progression|Prends tes photos et ajoute le contexte — source, prix d'achat, détails que l'objectif ne voit pas.|
APP_003|App.jsx|label étape barre de progression|Annonce|
APP_004|App.jsx|description étape barre de progression|Revois le titre et la description générés. Affine avec le chat si besoin.|
APP_005|App.jsx|label étape barre de progression|Publier|
APP_006|App.jsx|description étape barre de progression|Copie-colle sur Vinted ou LBC, fixe ton prix, puis sauvegarde dans l'inventaire.|
APP_008|App.jsx|label onglet nav|Générer|
APP_009|App.jsx|titre page|Générer une annonce|
APP_010|App.jsx|sous-titre page|Génère tes annonces plus vite que ton ombre, copie-colle sur les plateformes — fini la flemme de mettre en vente.|
APP_011|App.jsx|label onglet nav|Inventaire|
APP_012|App.jsx|titre page|Mon inventaire|
APP_013|App.jsx|sous-titre page|Tout ton stock au même endroit, prêt à vendre en un coup d'œil.|
APP_014|App.jsx|hint InfoBubble inventaire|Chaque article est lié à une source (Vide-grenier, Emmaüs…) — filtre par Source pour voir d'où viennent tes meilleures trouvailles, et par Tags pour le type d'objet. C'est ce suivi qui alimente les Stats.|
APP_015|App.jsx|label onglet nav|Stats|
APP_016|App.jsx|titre page|Statistiques|
APP_017|App.jsx|sous-titre page|Vois enfin ce qui te rapporte vraiment, source par source.|
APP_018|App.jsx|label onglet nav|Paramètres|
APP_019|App.jsx|titre page|Paramètres|
APP_020|App.jsx|sous-titre page|Personnalise Loot à ta façon de chiner, gère tes sources et tes tags pour un suivi optimisé.|
APP_022|App.jsx|texte chargement splash|Chargement…|
APP_023|App.jsx|bouton retour header|← Accueil|
GEN_001|GenerateurTab.jsx|bouton galerie photos|🖼️ Galerie|
GEN_002|GenerateurTab.jsx|bouton caméra photos|📷 Caméra|
GEN_003|GenerateurTab.jsx|texte zone dépôt photos (mono)|Jusqu'à 5 photos par article|
GEN_004|GenerateurTab.jsx|label champ infos complémentaires|Infos complémentaires (optionnel)|
GEN_005|GenerateurTab.jsx|placeholder textarea infos|Marque, taille, année, défauts… tout ce que la photo ne montre pas ✨|
GEN_006|GenerateurTab.jsx|label champ prix achat|Prix d'achat €|
GEN_007|GenerateurTab.jsx|placeholder input prix achat|ex: 2|
GEN_008|GenerateurTab.jsx|label champ source|Source|
GEN_010|GenerateurTab.jsx|bouton générer annonce|✨ Générer l'annonce|
GEN_011|GenerateurTab.jsx|bouton effacer photos|Effacer|
GEN_012|GenerateurTab.jsx|bouton publier (étape review)|🚀 Publier|
GEN_013|GenerateurTab.jsx|bouton recommencer (étape review)|← Recommencer|
GEN_014|GenerateurTab.jsx|label section copier-coller|Copier-coller sur Vinted / LBC|
GEN_015|GenerateurTab.jsx|label bouton InfoBubble publish|Pourquoi pas lié ?|
GEN_016|GenerateurTab.jsx|contenu InfoBubble publish|On adorerait publier directement à ta place — vraiment. Mais Vinted interdit toute appli tierce et bannirait ton compte sans préavis. Pas question de prendre ce risque pour toi. Le jour où ils ouvrent une vraie API, on sort le champagne 🍾|
GEN_021|GenerateurTab.jsx|label section prix publish|Prix|
GEN_022|GenerateurTab.jsx|label reco IA prix|RECO IA|
GEN_023|GenerateurTab.jsx|label prix listé par l'utilisateur|TON PRIX LISTÉ|
GEN_024|GenerateurTab.jsx|placeholder input prix listé|€|
GEN_025|GenerateurTab.jsx|placeholder input note prix|Note prix (Vinted suggère X€, marché saturé…)|
GEN_026|GenerateurTab.jsx|bouton sauvegarder inventaire|💾 Sauvegarder dans l'inventaire|
GEN_027|GenerateurTab.jsx|bouton passer (sans sauvegarder)|Passer|
GEN_028|GenerateurTab.jsx|bouton retour annonce|← Retour à l'annonce|
GEN_029|GenerateurTab.jsx|toast article ajouté|✓ Article ajouté à l'inventaire|
GEN_030|GenerateurTab.jsx|message erreur génération|Erreur de génération. Réessaie.|
GEN_031|GenerateurTab.jsx|message erreur sauvegarde|Erreur de sauvegarde. Réessaie.|
GEN_032|GenerateurTab.jsx|label statut en attente (batch)|En attente|
GEN_033|GenerateurTab.jsx|label statut génération (batch)|⏳ Génération…|
GEN_034|GenerateurTab.jsx|label statut prêt (batch)|✓ Prêt|
GEN_035|GenerateurTab.jsx|label statut erreur (batch)|✗ Erreur|
GEN_036|GenerateurTab.jsx|label statut sauvé (batch)|💾 Sauvé|
GEN_037|GenerateurTab.jsx|label champ source (batch)|Source|
GEN_038|GenerateurTab.jsx|label champ date (batch)|Date|
GEN_039|GenerateurTab.jsx|label champ prix par article (batch)|Prix / article €|
GEN_040|GenerateurTab.jsx|label champ total lot (batch)|Total du lot €|
GEN_042|GenerateurTab.jsx|bouton galerie photos (batch)|🖼️ Galerie|
GEN_043|GenerateurTab.jsx|bouton caméra photos (batch)|📷 Caméra|
GEN_044|GenerateurTab.jsx|texte zone dépôt photos (batch)|Tu peux mettre plusieurs photos du même article — je les identifie et tu pourras corriger.|
GEN_045|GenerateurTab.jsx|label infos complémentaires (batch)|Infos complémentaires (optionnel)|
GEN_046|GenerateurTab.jsx|placeholder textarea infos (batch)|Marque, taille, année, défauts… tout ce que la photo ne montre pas ✨|
GEN_048|GenerateurTab.jsx|bouton grouper sélection (batch)|🔗 Grouper la sélection|
GEN_049|GenerateurTab.jsx|tip grouper photos (batch)|💡 Coche les photos d'un même article puis clique sur "Grouper" pour n'en faire qu'une seule fiche.|
GEN_050|GenerateurTab.jsx|title sortir photo du groupe|Sortir cette photo du groupe|
GEN_053|GenerateurTab.jsx|bouton tout générer (chargement)|En cours…|
GEN_054|GenerateurTab.jsx|bouton tout générer (batch)|✨ Tout générer|
GEN_055|GenerateurTab.jsx|bouton vider (batch)|Vider|
GEN_056|GenerateurTab.jsx|titre article par défaut (batch)|Article|
GEN_057|GenerateurTab.jsx|placeholder infos supplémentaires article (batch)|Infos supplémentaires…|
GEN_058|GenerateurTab.jsx|bouton réessayer (batch erreur)|🔄 Réessayer|
GEN_060|GenerateurTab.jsx|placeholder input prix listé (batch)|Prix listé|
GEN_061|GenerateurTab.jsx|placeholder input note prix (batch)|Note prix…|
GEN_062|GenerateurTab.jsx|bouton sauver article (batch)|💾 Sauver|
GEN_063|GenerateurTab.jsx|toast article ajouté (batch)|✓ Article ajouté à l'inventaire|
GEN_064|GenerateurTab.jsx|toast échec sauvegarde (batch)|✗ Échec de la sauvegarde|
GEN_065|GenerateurTab.jsx|empty state batch|Upload ta prochaine fournée pour tout générer d'un coup.|
GEN_066|GenerateurTab.jsx|bouton mode un article|Un article|
GEN_067|GenerateurTab.jsx|bouton mode multi-ajout|Multi-ajout|
GEN_068|GenerateurTab.jsx|contenu InfoBubble modes (Un article)|Un article : tu photographies et génères une annonce à la fois, idéal quand tu veux la peaufiner tout de suite.|
GEN_069|GenerateurTab.jsx|contenu InfoBubble modes (Multi-ajout)|Multi-ajout : tu veux gérer ta fournée d'achats (vide-grenier, Emmaüs…) et gagner du temps — prends plusieurs photos d'un coup, l'app regroupe automatiquement les photos d'un même objet et l'IA génère toutes les annonces en une fois.|
INV_001|InventaireTab.jsx|label statut vendu|Vendu|
INV_002|InventaireTab.jsx|label statut en vente|En vente|
INV_003|InventaireTab.jsx|label statut en attente|En attente|
INV_004|InventaireTab.jsx|placeholder barre de recherche|🔍 Rechercher un article ou une source…|
INV_005|InventaireTab.jsx|option filtre malles (toutes)|🧳 Toutes|
INV_006|InventaireTab.jsx|option filtre malles (mes articles)|Mes articles|
